id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,tax,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
64069,uncommon,5100,watermelon,watermelon,,2023-02-24T02:44:28.878Z,255.00,600,600,500,3020,1703,676.03,3920
64982,epic,10400,mummy,mummy,,2023-02-24T03:00:15.012Z,520.00,50,50,28,620,439,101.71,340
56359,rare,8500,ladybug,ladybug,,2022-12-28T18:00:29.824Z,425.00,150,150,2,675,341,57.23,0
50815,rare,4000,wheeee,wheeee,,2023-02-09T17:11:15.509Z,200.00,150,150,17,662,301,158.88,0
61664,common,200,virus,virus,,2023-02-24T03:01:01.345Z,10.00,2000,2000,1610,3,0,0,0
61645,common,200,virus,virus,,2023-02-24T03:01:03.348Z,10.00,2000,2000,1599,0,0,0,0
61630,common,200,virus,virus,,2023-02-24T03:01:05.768Z,10.00,2000,2000,1594,5,0,0,0
61560,common,200,virus,virus,,2023-02-24T03:01:07.928Z,10.00,2000,2000,1567,6,0,0,0
61167,common,200,virus,virus,,2023-02-24T03:01:09.803Z,10.00,2000,2000,1381,0,0,0,0
61152,common,200,virus,virus,,2023-02-24T03:01:12.517Z,10.00,2000,2000,1373,2,0,0,0
46405,rare,4500,peach,peach,,2023-02-14T13:08:53.486Z,225.00,100,100,69,572,255,8.11,0
56440,rare,20000,ladybug,ladybug,,2022-12-16T19:52:04.300Z,1000.00,150,150,79,41161,20832,5407.27,5300
49931,rare,4000,cherry,cherry,,2023-02-07T13:58:40.664Z,200.00,100,100,82,611,298,14.78,0
42506,rare,4400,jackolantern,jackolantern,,2022-12-22T20:53:51.170Z,220.00,150,150,85,11256,4795,137.78,490
47443,rare,8000,egg,egg,,2023-01-31T12:16:05.513Z,400.00,100,100,90,1102,507,14.48,0
50892,rare,3750,wheeee,wheeee,,2022-09-26T13:51:35.523Z,187.50,150,150,94,1063,595,345.78,0
52115,rare,2300,banana,banana,,2023-01-30T11:49:55.471Z,115.00,150,150,96,999,568,12.63,0
48054,rare,10000,candyswirl,candyswirl,,2023-01-09T21:30:13.693Z,500.00,100,100,100,390,196,3.96,0
68400,rare,3180,peach,peach,,2023-02-09T20:03:23.258Z,159.00,100,100,103,0,0,0,0
65114,rare,3999,frankie,frankie,,2023-02-23T21:23:02.115Z,199.95,150,150,110,136,67,10.24,2270
68637,epic,11700,mummy,mummy,,2023-02-20T20:24:08.382Z,585.00,50,50,51,0,0,0,0
38238,rare,1550,bowie,bowie,,2023-01-24T14:31:18.367Z,77.50,321,321,114,567,248,5.04,0
38239,rare,1550,bowie,bowie,,2023-01-24T14:31:16.170Z,77.50,321,321,115,659,255,8.66,0
3802,rare,1850,eyeball,eyeball,,2022-11-29T14:49:55.684Z,92.50,290,290,118,1635,620,225.53,0
40695,rare,5000,pizza,pizza,,2023-02-23T16:45:32.889Z,250.00,150,150,16,4477,1799,51.32,0
65974,epic,16000,dragon,dragon,,2023-01-01T22:26:46.204Z,800.00,50,50,51,0,0,0,0
52912,rare,3000,banana,banana,,2023-02-09T13:05:55.391Z,150.00,150,150,129,43,18,0.73,0
65133,rare,2850,frankie,frankie,,2023-02-23T16:04:45.243Z,142.50,150,150,129,0,0,0,0
61146,common,200,virus,virus,,2023-02-24T03:01:15.418Z,10.00,2000,2000,1369,3,0,0,0
60698,common,200,virus,virus,,2023-02-24T03:01:18.374Z,10.00,2000,2000,1196,0,0,0,0
60646,common,200,virus,virus,,2023-02-24T03:01:21.188Z,10.00,2000,2000,1178,2,0,0,0
50871,rare,3500,wheeee,wheeee,,2022-11-27T03:18:46.342Z,175.00,150,150,73,412,181,11.40,0
58871,rare,8000,wheeee,wheeee,,2022-08-05T09:17:49.716Z,400.00,150,150,151,0,0,0,0
4434,rare,2500,eyeball,eyeball,,2022-09-17T18:12:10.842Z,125.00,290,290,157,4296,1263,2.4,0
66518,epic,6980,royman,royman,,2023-02-19T09:27:45.074Z,349.00,50,50,57,0,0,0,0
65246,common,1000,football,football,,2023-02-24T03:01:44.567Z,50.00,2000,2000,1807,0,0,0,0
60222,common,200,virus,virus,,2023-02-24T03:01:23.341Z,10.00,2000,2000,1059,0,0,0,0
2505,common,160,beachball,beachball,,2023-02-23T20:46:06.606Z,8.00,3502,3502,193,195,67,3.06,0
43656,epic,8990,discoball,discoball,,2023-02-22T10:49:15.665Z,449.50,53,53,26,3164,1341,54.30,0
56390,rare,6000,ladybug,ladybug,,2023-02-22T13:31:18.548Z,300.00,150,150,30,2610,1027,602.03,5170
9221,uncommon,400,fishcake,fishcake,,2023-02-21T18:30:02.283Z,20.00,735,735,198,38,18,0,0
12947,rare,2250,melon,melon,,2023-02-20T12:26:25.039Z,112.50,273,273,202,1195,489,25.79,970
46604,uncommon,2000,cat,cat,,2023-02-21T17:10:51.372Z,100.00,600,600,55,3373,1358,133.43,0
2344,rare,1850,coconut,coconut,,2022-11-29T13:01:01.011Z,92.50,288,288,210,190,80,2.64,0
4543,uncommon,888,target,target,,2023-02-21T19:51:03.215Z,44.40,747,747,217,382,142,2.69,0
56880,epic,12000,snowman,snowman,,2022-11-19T14:44:23.517Z,600.00,50,50,51,310,169,3.51,0
55157,uncommon,800,dog,dog,,2023-02-22T12:55:28.455Z,40.00,600,600,220,87,31,0,0
41783,rare,6900,jackolantern,jackolantern,,2023-01-05T19:34:43.057Z,345.00,150,150,2,4252,2132,837.93,0
53407,rare,6000,diver,diver,,2023-02-23T04:35:47.999Z,300.00,150,150,32,394,216,26.28,0
64989,epic,12550,mummy,mummy,,2023-02-21T12:38:04.139Z,627.50,50,50,35,11,6,0,850
50672,common,1380,vase,vase,,2023-02-23T09:48:14.518Z,69.00,2000,2000,90,679,368,13.57,0
67457,uncommon,2700,earth,earth,,2023-02-22T00:14:09.603Z,135.00,600,600,171,0,0,0,0
50925,rare,4500,wheeee,wheeee,,2023-02-18T18:53:13.476Z,225.00,150,150,121,351,171,4.77,0
1468,rare,3000,coconut,coconut,,2022-03-01T10:35:46.187Z,150.00,288,288,113,2,1,0,0
3107,rare,1820,coconut,coconut,,2022-12-07T17:11:12.141Z,91.00,288,288,249,1319,570,13.58,0
50268,rare,3240,floater,floater,,2023-02-11T10:02:50.553Z,162.00,150,150,57,673,263,11.62,1000
48103,rare,4000,cherry,cherry,,2023-02-07T13:58:28.822Z,200.00,100,100,51,860,402,14.30,0
69079,common,180,vase,vase,,2023-02-24T03:02:00.819Z,9.00,2000,2000,1955,0,0,0,0
43983,epic,8999,discoball,discoball,,2023-02-04T23:23:41.758Z,449.95,53,53,30,3160,1317,53.87,0
11612,rare,3000,melon,melon,,2022-01-24T23:35:29.917Z,150.00,273,273,140,0,0,0,0
58421,rare,2500,jackolantern,jackolantern,,2023-01-30T18:52:56.676Z,125.00,150,150,157,13,7,3.30,1250
59306,rare,5000,cougar,cougar,,2023-02-03T17:00:19.859Z,250.00,150,150,150,45,29,0.33,730
53930,rare,2300,banana,banana,,2023-01-30T10:30:23.151Z,115.00,150,150,148,184,95,4.05,0
11897,rare,11500,melon,melon,,2023-02-24T01:50:33.462Z,575.00,273,273,156,26694,12504,1192.02,12890
65059,rare,3500,frankie,frankie,,2023-02-18T21:24:39.142Z,175.00,150,150,55,5027,1512,1188.24,610
12009,rare,6500,melon,melon,,2023-02-14T05:08:56.752Z,325.00,273,273,160,2300,886,9.11,2250
11886,rare,2500,marble,marble,,2022-10-25T12:37:52.547Z,125.00,288,288,279,0,0,0,0
42665,rare,4000,peach,peach,,2023-01-24T02:06:48.861Z,200.00,100,100,25,2629,998,40.40,0
8646,rare,1800,eyeball,eyeball,,2022-12-28T17:31:38.204Z,90.00,290,290,303,1446,567,10.90,0
67511,uncommon,1105,earth,earth,,2023-02-22T17:21:59.314Z,55.25,600,600,223,0,0,0,0
48649,rare,17000,floater,floater,,2022-12-26T20:15:38.378Z,850.00,150,150,30,2427,1414,9.43,0
